username,comment,rating,likes,create_time
sahabatofficial683,"Kualitas:sangat bagus
Permukaan:mulus
Kondisi:second, bagus

Terima kasih  seller, 
Cmn sayang GX bisa download aplikasi k",4,0,1723236414
pbruh__uti,"Kondisi Barang:datang dalam keadaan mulus
Kualitas:sangat bagus
Permukaan:mulus",5,0,1737179425
31f3r4m0ua,,5,1,1734243086
umteh75p2x3r12o682v1301_h2me,"Kondisi Barang:datang dalam keadaan pengepakkan baik namun setelah di buka tutup cd room lepas
Kualitas:bagus
Permukaan:sedikit lecet/benjut di bagian pojok kiri",4,0,1760587355
,Sangat kecewa pesen mrk acerr dtg mrk hp..pas gto batre gk berpungsi harus di colokin aj casanya,2,6,1744498223
newkomala.audio,,5,0,1734092923
ben.martin,"Fitur Terbaik:bagus
Sepadan dengan Harga:kondisi sesuai dngan harga",4,11,1735648194
sitimutmainah209,"Sepadan dengan Harga:iya
Fitur Terbaik:ok

Sesuai pesanan,second seperti baru,semoga awet meski murah tp gk murahan mkasih seller....",5,0,1706091011
iwankzonk1985,Terimakasih,5,1,1668903806
bastiyan_binara,"Kondisi Barang:sangat bagus dan rekomended
Kualitas:buagus
Permukaan:mulus, saya rekomendasi bgt untuk  temen2 yg cari laptop bekas di sini benar2 ternjamin barangnya.",5,0,1743773300
dery107,"Fitur Terbaik:Lumayan untuk harga minim

Bagus tidak lemot untuk ukuran RAM 2 GB, namun minus yang saya miliki tombol spasi tidak berfungsi dan batrai lemah jadi harus di colok terus",5,0,1661251076
dannyyyyyy,Semoga awet,5,0,1727866899
denyhermawan110990,,5,0,1751196683
ardiguler470,Makasih shoope,5,0,1749902167
enuzn4,Mulus bagus,5,0,1758544714
ngamendirumahaja,Mantul,5,0,1725905641
sultantirtayasa,"Fitur Terbaik:bagus . cuma ada lecet sedikit
Sepadan dengan Harga:sesuai dengan harga segituh",5,0,1683109173
zo_store_hago,"Kondisi Barang:ok cuman batrei drop banget
Kualitas:lumayan
Permukaan:ok

bagus cuman berharap dapet merk dell/hp/ acer dapatnya lenovo 🥲 tp ok lah cepet banget datengnya 2 hari padahal estimasi 6 - 7 hari paling lambat ... cuman tolong penjual kalau kita chat jngan yg balas AI ...gak nyambung balesnya",4,0,1747713191
7vvg19bg6l,"Kualitas:bagus rapih lagi
Kondisi:lumayan harga sgitu",3,0,1722483870
megilang,Mantep lah awalnya si dikira boongan,5,0,1685777235
,"Fitur Terbaik:alhamdulillah

Alhamdulillah.. nyampe juga walau sempat muter2..
Mantap, bocil langsung seneng..
Trimakasih..
Semoga awet dan berkah..
Tambah laris kak..",5,6,1731017049
hariap12345,"Kualitas:barang mulus dan all semuanya berfungsi, kurir ramah dan sopan, all fitur baik
Permukaan:mulus",5,0,1723278815
3*****o,"Charger mati tidak berfungsi gmn ini tanggung jawab lahh jadi laptop tidak jalan, di cat gk di bls ",1,2,1749278904
yudieraalfatir,"Alhamdulillah... Batre sudah di terima kemarin. Skrng baru di cek nch, mudah-mudahan Normal dua2'y, pasti order lgi. Mksh Lapak 🙏",5,1,1760587447
z_na3k4kn4,"Kondisi Barang:layak pakai masih mulus
Kualitas:ok",5,1,1749725661
bbx63,"Sepadan dengan Harga:ok

Barang sampai sesuai pesanan hanya baterai drop cuma tahan 1jam.makasih gan.pesannya Acer tapi dikasih dell.. mdh2an gak ada trouble ya",5,0,1667241154
b*****7,"Seller sengaja lama balas chat,ngulur"" waktu biar barang ronsokan dia laku by system.
Katanya laptop ngebut siap pakai minus batre,ga taunya minus banyak, sampai di sini
 keyboard laptop rusak nekan"" terus sampe susah booting ke windows,sama seller di janjikan di kasih ssd windows 10,tapi seller ngirim barang ke alamat yg salah.biar barang yg di kirim kembali ke pengirim.tidak sampai ke alamat saya,(ini hanya trik seller mengulur waktu hati"")",1,1,1756592115
ctjgroubtourtravel,Barang sesuai pesanan semoga awet,5,0,1715464979
,Kualitas:oke sangat bagus semoga sukses selalu trims.,5,0,1746066262
m*****_,"Kualitas:baik
Permukaan:bagus
Kondisi:kondisi seperti baru",5,0,1722414672
adi.berno,"Fitur Terbaik:top markotop

Biar bekas. Seperti baru👍👍👍👍",5,0,1707495523
tatangbintarno,CD room TDK BS namun semuanya berfungsi baik,4,0,1719569356
priyonoutomo168,"Kondisi Barang:sesuai deskripsi
Kualitas:baik
Permukaan:baik",5,0,1727526211
iccanklutfy,Sesuai harga,5,0,1707475727
ferryfadli243,Lumayan bagus..semoga awet 😁,5,0,1731476983
keedxw9ync,"Fitur Terbaik:Tidak jelek
Sepadan dengan Harga:iya 

Beli ACER yg datang Fujitsu... Titipan teman dan dia nggak mau... Terpaksa beli sendiri",4,0,1668990045
amiruddinamir083,Kualitas:bbbb,5,0,1723105262
kenzitristan,,3,0,1737370079
nadi_zmr,"Laptop nya hidup mati terus, kurang puas jadinya..",1,0,1723610727
badawani,"Kondisi Barang:baik
Kualitas:baik
Permukaan:mulus

Minus pada tombol on/off",4,0,1742896422
purnamawatiwati303,"Kondisi Barang:datang
Fungsi:proses
Permukaan:mulus",1,0,1749800170
rezar0701,Mantap terima kasih seller,4,0,1707664021
ridwan_soul,"Kondisi Barang:bagus
Kualitas:sesuai",4,0,1743157737
affanmadu,Kualitas:ok,3,0,1714569226
satirai.x,"Kondisi Barang:bagus tanpa lecet
Kualitas:bagus
Permukaan:mulus lus lus...

Barang sudah di Terima... Paket di bungkus tebal.. Aman sekali dan berfungsi dengan baik... Terima kasih.... Maaf vidio unboxing nya lupa...",5,0,1748606655
akbarbaim92,"Permukaan:mulus
Kondisi:terjaga dengan baik

Paket sudah sy Terima, laptop merek axioo masih mulus sudah sy coba bagus sesuai keinginan Terimakasih",5,0,1718513653
rsmzyn,"Kondisi Barang:aman
Kualitas:oke
Permukaan:mulus

berfungsi dengan baik 👍🏻",5,0,1747146488
a*****8,"chat tokok tidak direspon, ga puas, ganiat bals chat ya gini, cuma pengen laris doang ga mikirin kepuasan pembeli",1,0,1734127603
ariyanti_0786,"Sepadan dengan Harga:bagus
Fitur Terbaik:Bagus

Alhamdulillah mendarat dengan selamat.
lagii di Cek cek Dulu 
Terimakasih",5,3,1735923444
rojikin_tukangson,Fungsi:mantep muga awet,5,0,1748777676
afaedhar3,,5,0,1765820037
citrabodyslim,,5,0,1737642151
mnk86,,1,0,1735982201
dwiyantorissyahidsetyono,,5,0,1730245556
manurung_songketgallery,,5,0,1717486696
luckyraihanalwandha,,5,0,1722539693
muhammad_rizki13,,5,0,1716033681
a*****4,,5,0,1717653740
eli.printing,,5,0,1726467633
mr.mukty89,,5,0,1719638104
pangestu123989,,5,0,1707189387
muhamadakrom303,,5,0,1737258601
sukurkurniawan870,,5,0,1736873519
jamaludinkamal75,,5,0,1712413823
6xe8d5yaku,,5,0,1714821257
ar.rohman2580,,5,0,1731406924
dewistapro,,5,0,1735092921
_yu5en8ns1,,5,0,1729229901
nasyek,,5,0,1727949303
smartmediaolshop,,5,0,1713437288
agustendawo,,5,0,1714401483
nonotsaja,,5,0,1715809206
adipwemi,,5,0,1717947322
zaiminmimin,,5,0,1732871282
igustingurahsukmayuda,,5,0,1731325350
beliidrcrush,,5,0,1737894265
endraendra837,,5,0,1738651639
m*****i,,5,0,1739718635
amirullahmkp,,3,0,1713919943
irwansyapokito,,2,0,1737003140
lesymoyy,,2,0,1723528410
donidon603,,2,0,1727616296
0ul9b1vty_,,1,0,1713158166
adihariyono589,,1,0,1716538254
m_325fvz_q,,5,0,1702640480
outfitkuni,,2,1,1711670220
adicitra_part,,5,0,1593601483
s*****n,,4,0,1593090336
ar1fw1d0d0,,5,0,1659949896
s*****2,,5,0,1654704925
will.i.amrl01,,5,0,1657179533
arifcom2,,5,0,1632452192
balibo3105,,5,0,1658134200
f3t33hi1sd,,4,0,1680947798
ervan_putra69,,3,0,1654669733
ambuanastasiatamuina,,5,0,1743388032
fd560iu8at,,5,0,1751010946
sulaiman_alfaruki,,5,0,1751628521
sjo887v18g,,5,0,1754726192
nurjamanzeuby585,,5,0,1760438515
y5pnk48fmn,,4,0,1748952951
bidanyasmila123,,4,0,1745091746
nitamutiasarah,,3,0,1749181783
edi291730,,3,0,1756961931
