username,comment,rating,likes,create_time,comment_clean
a*****0,"Bagus berfungsi dengan baik
-Charger yang di kirim rusak + kotor ( tapi penjual mau bertanggung jawab jadi gapapa ) 
-Macbook kotor banyak noda kayak oli gatau kenapa 
- Apk yang di request gak di instal samsek
Dah sih itu aja setelah di pakai kurang lebih beberapa minggu macbook nya berfungsi dengan baik tanpa kendala,, terimakasih",4,3,1764976277,bagus berfungsi dengan baik charger yang di kirim rusak kotor tapi penjual mau bertanggung jawab jadi gapapa macbook kotor banyak noda kayak oli gatau kenapa apk yang di request gak di instal samsek dah sih itu aja setelah di pakai kurang lebih beberapa minggu macbook nya berfungsi dengan baik tanpa kendala terimakasih
m*****i,"Fungsi:Baik
Kondisi Barang:Ada lecet. ya wajarlah
Spesifikasi:Bagus

Semoga awet",5,0,1746282297,fungsi baik kondisi barang ada lecet ya wajarlah spesifikasi bagus semoga awet
silviaeugene,"Bagian belakang agak bengkak, ada deng ujung kiri overall sih masih bagus semoga awet",5,0,1745887726,bagian belakang agak bengkak ada deng ujung kiri overall sih masih bagus semoga awet
a*****d,,4,0,1759934460,nan
arkarasyashop,"Fungsi:bagus
Kondisi Barang:mulus lecet pemakaian biasa.
Desain:apik",5,0,1756291717,fungsi bagus kondisi barang mulus lecet pemakaian biasa desain apik
hze_ri,"Fungsi:berfungsi dgn baik
Kondisi Barang:bagus dan mulus
Desain:bagus",5,0,1753071631,fungsi berfungsi dgn baik kondisi barang bagus dan mulus desain bagus
_2z631iscr,"Fungsi:baik
Kondisi Barang:normal
Desain:masi keren",5,0,1752144566,fungsi baik kondisi barang normal desain masi keren
ferihbibi,,5,0,1759039162,nan
imamzainalasrori,"Fungsi:semua berfungsi
Kondisi Barang:scont terasa baru
Desain:menarik perrhatian",5,0,1755313969,fungsi semua berfungsi kondisi barang scont terasa baru desain menarik perrhatian
a*****1,"Fungsi:baik
Kondisi Barang:bagus
Desain:bagus

Terima kasih",5,0,1759682617,fungsi baik kondisi barang bagus desain bagus terima kasih
ardian1975,"Fungsi:beroperasi dengan baik
Kondisi Barang:kondisi ok
Desain:sangat bagus",5,0,1760508604,fungsi beroperasi dengan baik kondisi barang kondisi ok desain sangat bagus
om_ferdy,"Fungsi:bagus
Kondisi Barang:baik
Desain:keren oi

Terimakasih ya seller",5,0,1754490450,fungsi bagus kondisi barang baik desain keren oi terimakasih ya seller
4n1fw,"Fungsi:beroperasi dengan baik
Kondisi Barang:sesuai harga
Desain:menarik",5,0,1763449347,fungsi beroperasi dengan baik kondisi barang sesuai harga desain menarik
intan.raviani.ogianto,"Fungsi:oke
Kondisi Barang:oke
Desain:oke

Pelayanan cepat tanggap.",5,0,1765404743,fungsi oke kondisi barang oke desain oke pelayanan cepat tanggap
fatimahfath622,"Fungsi:oke
Kondisi Barang:sedikit melantar
Desain:bagus

Respon baik sekalii",5,1,1753884713,fungsi oke kondisi barang sedikit melantar desain bagus respon baik sekalii
maxhavestudio,Waktu beli sudah isi dan diminta isi request program adobe  tapi di cek kemudian tdk ada adobe. Sptinya ini cat ulang,5,0,1761130367,waktu beli sudah isi dan diminta isi request program adobe tapi di cek kemudian tdk ada adobe sptinya ini cat ulang
sahuleka_aldi,ok bagus sesuai,5,0,1758458563,ok bagus sesuai
s*****8,"Fungsi:fungsi normal
Kondisi Barang:ada penyok di bagian belakang lcd",4,0,1748800852,fungsi fungsi normal kondisi barang ada penyok di bagian belakang lcd
funarnojuriadin.p,"Fungsi:berfungsi
Kondisi Barang:Namanya juga seccond. Lumayan
Desain:oke",4,0,1760264831,fungsi berfungsi kondisi barang namanya juga seccond lumayan desain oke
